,BID
0,29985
1,30071
2,30206
3,30229
4,30287
5,30288
6,30304
7,30333
8,30338
9,30363
10,30383
11,30393
12,30413
13,30424
14,30450
15,30458
16,30475
17,30479
18,30532
19,30536
20,30600
21,30633
22,30640
23,30642
24,30653
25,30654
26,30670
27,30672
28,30680
29,30711
30,30719
31,30775
32,30776
33,30822
34,30831
35,30833
36,30845
37,30863
38,30874
39,30895
40,30922
41,30946
42,30954
43,30981
44,30990
45,30991
46,30994
47,31019
48,31024
49,31035
50,31042
51,31049
52,31072
53,31086
54,31099
55,31114
56,31121
57,31123
58,31154
59,31157
60,31172
61,31173
62,31180
63,31184
64,31231
65,31232
66,31247
67,31261
68,31269
69,31276
70,31290
71,31303
72,31318
73,31343
74,31350
75,31359
76,31410
77,31434
78,31440
79,31463
80,31491
81,31560
82,31561
83,31585
84,31605
85,31616
86,31639
87,31645
88,31683
89,31764
90,31817
91,31858
92,31886
93,31936
94,31967
95,32028
