,customer,weight,round,length
0,"[34, 75, 83, 79, 13, 27, 47, 23, 61, 62, 44, 43, 56, 14]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,1968.6773195700002
1,"[53, 51, 16, 15, 20, 50, 54, 22, 49, 55, 46, 73, 74]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1]",0,1655.37156871
2,"[35, 52, 76, 29, 48, 28]","[1, 1, 1, 8, 2, 2]",0,1429.6982459609999
3,"[60, 71, 6, 19, 66, 17, 7, 67, 31]","[1, 1, 1, 7, 1, 1, 1, 1, 1]",1,740.844219424
4,"[43, 36, 80, 77, 30, 69, 21, 33, 26, 11, 68, 78]","[2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]",1,958.255531528
5,"[63, 8, 12, 81, 70, 59, 45, 37, 18, 82]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 5]",1,1552.197542189
6,"[40, 5, 3, 58, 41, 0, 32, 39]","[1, 1, 3, 2, 3, 1, 3, 1]",2,957.890536875
7,"[4, 10, 57, 38, 42, 2, 64, 24, 1, 9, 65, 72, 25]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",2,2394.58751954
8,[],[],2,0.0
