,CID
0,1446
1,2237
2,2239
3,2240
4,3713
5,3762
6,3767
7,3768
8,3769
9,4030
10,4031
11,4032
12,7357
13,7358
14,7359
15,7484
16,7485
17,7486
18,10228
19,10230
20,10232
21,10233
22,10237
23,10238
24,10239
25,10247
26,10248
27,10258
28,10259
29,10260
30,10261
31,11285
32,11286
33,11287
34,11533
35,11534
36,11543
37,17139
38,17141
39,17143
40,17146
41,17147
42,17148
43,17149
44,17150
45,17718
46,17719
47,17720
48,18516
49,18517
50,18518
51,23948
52,25252
53,25253
54,25254
55,25255
56,25256
57,25407
58,25408
59,25409
60,25410
61,25411
62,30951
63,30952
64,30953
65,30954
66,30958
67,30959
68,32426
69,32620
70,32631
71,32632
72,38648
73,38649
74,38650
75,38651
76,38652
77,38653
78,38654
79,38655
80,38658
81,39389
82,40033
83,40034
84,40035
85,40036
86,40037
87,40038
88,40039
89,40040
90,40041
91,46130
92,46131
93,46132
94,46134
95,46136
96,47666
97,47667
98,47668
99,47669
100,47670
101,53808
102,53809
103,53810
104,53811
105,53814
106,53815
107,53816
108,53817
109,54585
110,54586
111,54587
112,54588
113,54589
114,54590
115,54591
116,54603
117,59647
118,59648
119,60275
