,customer,weight,round,length
0,"[190, 21, 119, 111, 131, 110, 109, 75]","[1, 1, 2, 2, 2, 2, 3, 2]",0,1909.826076248
1,"[108, 107, 132, 106, 30, 120, 187, 188]","[3, 2, 1, 4, 1, 1, 2, 1]",0,1612.740412482
2,"[189, 160, 159, 167, 53, 177, 179, 178, 163, 156, 157]","[1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2]",0,2525.6831966316
3,"[135, 184, 185, 143, 142, 99, 182]","[1, 3, 1, 1, 4, 4, 1]",0,2152.497574184
4,"[139, 141, 140, 97, 98, 181]","[3, 2, 5, 2, 2, 1]",1,2554.594276753
5,"[69, 70, 96, 103, 180]","[4, 4, 1, 4, 2]",1,2116.081358884
6,"[201, 193, 1, 195, 23, 171, 113, 186, 101, 95]","[1, 2, 1, 1, 1, 3, 2, 1, 2, 1]",1,3733.25581761
7,"[116, 151, 4, 7, 34, 145, 175, 59, 163]","[1, 1, 1, 1, 1, 1, 2, 1, 6]",1,3994.3029174020007
8,"[6, 126, 129, 198, 199, 9]","[1, 3, 1, 1, 1, 1]",2,3515.3887333146
9,[],[],2,0.0
10,[],[],2,0.0
11,"[13, 24, 26, 202, 29, 28, 10, 16, 152]","[1, 3, 2, 1, 1, 1, 1, 2, 2]",2,4400.912302403
