,customer,weight,round,length
0,"[146, 208, 171, 150, 151, 51, 87, 86, 263, 84, 88, 82, 81, 83]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0,3236.5209613790003
1,"[121, 120, 107, 35, 47, 72, 71, 37, 38, 52, 73]","[2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1]",0,5758.752826078201
2,"[28, 189, 188, 182, 184, 33, 235, 234, 307, 22, 227, 187, 180, 228]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",0,7811.119876744001
3,"[25, 91, 226, 175, 176, 119, 122, 213, 64, 221, 163, 164, 65, 222]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,5368.440481385301
4,"[36, 127, 125, 124, 54, 44, 112, 43, 113, 246, 17]","[1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1]",1,6971.9861776546
5,"[149, 147, 59, 58, 206, 114, 61, 209, 301, 80, 85, 257]","[2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]",1,4298.169036099
6,"[166, 99, 39, 98, 41, 42, 283, 12, 204, 106, 201]","[1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1]",1,3850.25464315
7,"[284, 286, 280, 100, 102, 203, 153, 152, 14, 241, 242, 16, 248]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2]",1,5664.529892806099
8,"[292, 264, 291, 19, 289, 288, 55, 56, 143, 220, 144, 140]","[1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1]",2,6639.224073952
9,[],[],2,0.0
10,"[210, 262, 261]","[1, 1, 1]",2,3253.336215624
11,"[282, 269, 0, 5, 297, 145, 141, 138, 278, 245, 243, 298]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,5788.602782111
