,CID
0,12118
1,12134
2,12437
3,12438
4,12592
5,18466
6,18467
7,18468
8,18474
9,19429
10,19431
11,19433
12,19435
13,19436
14,19437
15,19439
16,19440
17,19441
18,19443
19,19444
20,19445
21,19446
22,19448
23,19449
24,19450
25,19451
26,19452
27,19455
28,19529
29,19530
30,19537
31,19539
32,19541
33,19542
34,19544
35,19546
36,19547
37,19548
38,19549
39,26004
40,26005
41,26006
42,26007
43,26008
44,26009
45,26010
46,26011
47,26012
48,26024
49,26025
50,26026
51,26027
52,26028
53,26220
54,26221
55,26222
56,26224
57,26225
58,26226
59,26227
60,26228
61,26280
62,26281
63,26282
64,26283
65,32534
66,33155
67,33156
68,33157
69,33158
70,33159
71,33160
72,33492
73,33493
74,33518
75,38902
76,38905
77,38907
78,38908
79,40583
80,40772
81,40773
82,40853
83,40854
84,40855
85,47620
86,48215
87,48217
88,48218
89,48219
90,55138
91,55139
92,55140
93,55141
94,55142
95,55143
96,55144
97,55148
98,55149
99,55150
100,55167
101,61494
102,61495
103,61496
104,61497
105,61743
106,61750
