,customer,weight,round,length
0,"[250, 213, 212, 50, 211, 177, 176, 240, 241, 202, 203]","[2, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0,2751.3764731482006
1,"[81, 84, 131, 178, 160, 27, 23, 222, 188, 187, 22, 150]","[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1]",0,3365.3064353649997
2,"[18, 66, 255, 55, 254, 253, 85, 113, 129, 112, 185]","[2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1]",0,3045.3205861409997
3,"[271, 168, 264, 190, 29, 172, 263, 88, 209, 91, 63, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1]",1,7145.244312674
4,"[221, 218, 219, 242, 171, 159, 217]","[1, 1, 1, 4, 6, 1, 1]",1,3992.602255958
5,"[33, 31, 169, 266, 133, 216, 182, 71, 196, 238]","[1, 1, 2, 2, 1, 2, 3, 1, 1, 1]",1,6123.659850531
6,"[207, 208, 70, 71]","[1, 1, 3, 1]",2,4916.932183609
7,[],[],2,0.0
8,[],[],2,0.0
