,customer,weight,round,length
0,"[131, 44, 113, 51, 82, 121, 3, 92, 65]","[1, 2, 2, 1, 2, 3, 1, 1, 2]",0,4428.802674938
1,"[102, 103, 104, 106, 105, 68, 69, 70, 31]","[1, 1, 1, 1, 1, 1, 1, 3, 5]",0,4705.8428017490005
2,"[0, 67, 122, 98, 99, 123, 124, 125, 100, 37, 38]","[1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1]",0,4418.203524101999
3,"[93, 66, 94, 35, 135, 136, 53, 54, 55, 88, 87]","[1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1]",0,3260.8033283022
4,"[56, 74, 73, 90, 111, 110, 43, 50]","[1, 1, 1, 1, 2, 2, 5, 2]",0,2058.2943460964
5,[],[],1,0.0
6,"[120, 119, 114, 112, 113, 78, 129]","[1, 1, 2, 4, 1, 4, 1]",1,3418.6189252892
7,"[62, 63, 108, 137, 139, 64, 116]","[1, 2, 3, 2, 2, 2, 1]",1,4359.238936156
8,[],[],1,0.0
9,"[77, 61]","[1, 5]",1,3664.8147216750003
