,customer,weight,round,length
0,"[182, 98, 99, 142, 143, 101, 135]","[1, 2, 4, 4, 1, 2, 1]",0,2155.072773376
1,"[160, 159, 163, 156, 157]","[1, 1, 9, 2, 2]",0,1884.790458978
2,"[75, 184, 185, 131, 111, 110, 109]","[2, 3, 1, 2, 2, 2, 3]",0,1547.1487689179999
3,"[116, 178, 179, 177, 53, 201, 167, 113, 186, 21, 119, 190, 189]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]",0,3229.2366380196
4,"[108, 107, 132, 106, 30, 120, 187, 188]","[3, 2, 1, 4, 1, 1, 2, 1]",0,1612.740412482
5,"[139, 95, 141, 140, 97, 181]","[3, 1, 2, 5, 2, 1]",1,2507.1907409689998
6,"[171, 23, 195, 1, 193]","[3, 1, 1, 1, 2]",1,2014.8170156649999
7,"[13, 151, 24, 26, 202, 29, 28, 10, 16, 152]","[1, 1, 3, 2, 1, 1, 1, 1, 2, 2]",1,4400.912302403
8,"[69, 70, 96, 103, 180]","[4, 4, 1, 4, 2]",1,2116.081358884
9,"[4, 6, 126, 129, 198, 199, 9, 7, 34, 145, 175, 59]","[1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]",1,4015.7060428145996
