,BID
0,37820
1,37848
2,37854
3,37858
4,37861
5,37862
6,37863
7,37867
8,37869
9,37871
10,37877
11,37878
12,37882
13,37887
14,37896
15,37898
16,37904
17,37905
18,37908
19,37910
20,37915
21,37928
22,37930
23,37937
24,37942
25,37947
26,37954
27,37970
28,37993
29,38004
30,38010
31,38012
32,38017
33,38034
34,38036
35,38039
36,38057
37,38068
38,38075
39,38098
40,38100
41,38102
42,38108
43,38111
44,38121
45,38124
46,38128
47,38132
48,38136
49,38139
50,38163
51,38170
52,38171
53,38181
54,38182
55,38183
56,38186
57,38193
58,38202
59,38230
60,38234
61,38237
62,38246
63,38250
64,38259
65,38261
66,38266
67,38269
68,38272
69,38277
70,38284
71,38299
72,38302
73,38311
74,38314
75,38325
76,38326
77,38329
78,38332
79,38336
80,38350
81,38351
82,38367
83,38380
84,38386
85,38389
86,38392
87,38407
88,38411
89,38412
90,38415
91,38417
92,38421
93,38424
94,38432
95,38438
96,38471
97,38478
98,38499
99,38525
100,38527
101,38534
102,38542
103,38578
104,38579
105,38585
106,38595
107,38596
108,38597
109,38611
110,38612
111,38614
112,38625
113,38639
114,38646
115,38661
116,38668
117,38670
118,38677
119,38697
120,38702
121,38708
122,38713
123,38740
124,38742
125,38744
126,38757
127,38780
128,38784
129,38786
130,38829
131,38842
132,38877
133,38894
134,38919
135,38932
136,38937
137,38945
138,38959
139,38978
140,39018
141,39053
142,39055
143,39076
144,39081
145,39091
146,39106
147,39116
148,39139
149,39172
150,39173
151,39184
152,39191
153,39192
154,39225
155,39257
156,39295
157,39301
158,39305
159,39307
160,39314
161,39324
162,39360
163,39400
164,39406
165,39412
166,39422
167,39523
168,39569
169,39581
170,39598
171,39606
172,39613
173,39687
