,BID
0,24832
1,24949
2,24956
3,24977
4,24995
5,25041
6,25050
7,25068
8,25098
9,25107
10,25112
11,25119
12,25124
13,25147
14,25156
15,25165
16,25168
17,25181
18,25202
19,25218
20,25222
21,25241
22,25249
23,25272
24,25275
25,25278
26,25282
27,25309
28,25331
29,25338
30,25340
31,25346
32,25361
33,25378
34,25379
35,25394
36,25410
37,25445
38,25455
39,25466
40,25468
41,25470
42,25476
43,25489
44,25490
45,25525
46,25526
47,25538
48,25551
49,25567
50,25584
51,25591
52,25606
53,25619
54,25623
55,25633
56,25634
57,25669
58,25682
59,25697
60,25701
61,25708
62,25720
63,25729
64,25747
65,25754
66,25762
67,25766
68,25768
69,25777
70,25781
71,25795
72,25832
73,25836
74,25844
75,25861
76,25866
77,25885
78,25886
79,25887
80,25889
81,25897
82,25907
83,25914
84,25916
85,25917
86,25938
87,25950
88,25957
89,25960
90,25962
91,25980
92,25986
93,25993
94,26004
95,26026
96,26033
97,26041
98,26043
99,26045
100,26047
101,26054
102,26061
103,26077
104,26083
105,26086
106,26087
107,26099
108,26110
109,26144
110,26149
111,26161
112,26166
113,26168
114,26180
115,26193
116,26197
117,26217
118,26220
119,26251
120,26253
121,26260
122,26269
123,26280
124,26285
125,26302
126,26304
127,26347
128,26388
129,26396
130,26415
131,26421
132,26426
133,26467
134,26472
135,26512
136,26559
137,26568
138,26582
139,26587
140,26652
141,26661
142,26753
143,26793
144,26933
