,customer,weight,round,length
0,"[135, 34, 154, 0, 139, 41, 70, 40, 20, 39, 42]","[3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2]",0,3033.7480976949005
1,"[93, 104, 35, 125, 126, 103, 102, 156, 96]","[1, 3, 1, 3, 2, 1, 1, 2, 1]",0,3239.483838828
2,"[114, 27, 140, 33, 141, 142, 143, 71, 25, 24]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 2]",0,2254.4835715611
3,"[144, 113, 23, 157, 28]","[4, 4, 2, 2, 3]",1,1711.0225154980003
4,"[22, 50, 55, 47]","[1, 12, 1, 1]",1,1957.433602993
5,"[21, 18, 19, 134, 127, 95, 151, 119, 77, 109, 101, 110, 172]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1]",1,4390.9293476868
6,"[129, 128, 68, 11, 76, 30, 147, 29, 3]","[1, 1, 1, 1, 1, 1, 6, 1, 2]",2,5798.23667452
7,"[89, 37, 176, 145, 111, 87, 72, 52, 115, 48, 45, 26]","[1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1]",2,2654.1839315949996
8,"[146, 17, 69, 63, 62, 120, 121, 122, 152, 19, 171]","[1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2]",2,3818.822113055
9,[],[],3,0.0
10,[],[],3,0.0
11,"[147, 149, 179, 181, 150, 53, 182, 177, 178, 148]","[2, 1, 1, 1, 1, 1, 2, 2, 2, 1]",3,5519.623751016
