,CID
0,11635
1,11636
2,11637
3,11638
4,11639
5,11826
6,11827
7,11901
8,11902
9,11903
10,11904
11,11905
12,11906
13,11907
14,12135
15,12137
16,12138
17,12319
18,12320
19,12567
20,12568
21,12569
22,12570
23,12610
24,12611
25,12612
26,12613
27,12614
28,12672
29,18097
30,18098
31,18129
32,18130
33,18131
34,18132
35,18133
36,18134
37,18135
38,18136
39,18137
40,18253
41,18254
42,18255
43,18256
44,18339
45,18341
46,18342
47,18343
48,18344
49,18671
50,18672
51,18673
52,18674
53,18675
54,18676
55,18677
56,19676
57,19677
58,19758
59,26428
60,26454
61,26455
62,26456
63,26530
64,32246
65,32247
66,32948
67,32949
68,33218
69,33358
70,33359
71,33360
72,33361
73,33796
74,39603
75,39604
76,39605
77,39606
78,39607
79,39608
80,39609
81,39610
82,39711
83,40001
84,40376
85,40377
86,40378
87,40379
88,40963
89,40965
90,40980
91,41040
92,47107
93,47108
94,47110
95,47111
96,47112
97,47113
98,47114
99,47182
100,47183
101,47184
102,47362
103,47363
104,47752
105,47753
106,47754
107,47755
108,48418
109,48726
110,48727
111,48728
112,48797
113,48798
114,54930
115,55325
116,55326
117,55579
118,55652
119,55653
120,55668
121,55669
122,58349
123,60556
124,60557
125,60558
126,60559
127,60560
128,61043
129,61525
130,61915
131,61916
132,61920
