,customer,weight,round,length
0,"[88, 124, 59, 98, 93, 57, 0, 97, 83, 3, 87]","[1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2]",0,4260.505804978
1,"[53, 24, 33, 13, 109, 34, 73, 77, 39, 69, 38, 66]","[1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0,4183.843498976
2,"[116, 58, 71, 84, 30, 114, 92, 47, 117]","[1, 4, 1, 2, 1, 2, 1, 1, 2]",0,2426.34677113
3,"[81, 8, 64, 19, 28, 20, 29, 52, 125]","[1, 2, 1, 1, 2, 1, 3, 1, 3]",0,3416.6857605759005
4,[29],[15],0,1865.1222891
5,[],[],1,0.0
6,[],[],1,0.0
7,"[12, 107, 108, 68, 89, 67, 16, 17]","[1, 1, 3, 1, 1, 1, 1, 1]",1,4054.0066406019996
8,[],[],1,0.0
9,"[91, 112, 61, 60, 103, 111, 9, 14, 15, 25, 26, 86, 27]","[1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,4433.666805866
