,customer,weight,round,length
0,"[97, 35, 38, 39, 99, 36, 37, 32, 86]","[2, 2, 1, 1, 1, 2, 3, 2, 1]",0,3614.316017237
1,"[65, 62, 98, 105, 26, 5, 77, 78, 33, 9, 84]","[1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2]",0,3645.2339334550006
2,"[45, 57, 12, 44, 43, 92, 40, 30, 53, 29]","[4, 1, 1, 1, 1, 1, 3, 1, 1, 1]",0,3257.871657912
3,"[60, 96, 95, 68, 72, 102, 112]","[1, 1, 2, 1, 2, 2, 6]",0,3305.8691360310004
4,"[94, 106, 107, 6, 48, 49, 59, 115, 116, 51, 52, 108]","[2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]",0,3781.660152347
5,[],[],1,0.0
6,[],[],1,0.0
7,"[71, 109, 69, 66]","[1, 1, 1, 3]",1,4364.948104136
8,[],[],1,0.0
9,[],[],1,0.0
