,CID
0,9308
1,9310
2,9311
3,9312
4,9313
5,9314
6,9315
7,9316
8,9338
9,9339
10,9367
11,9368
12,9376
13,9549
14,9550
15,9561
16,11062
17,12009
18,12173
19,12261
20,12262
21,16072
22,16079
23,16080
24,16081
25,19230
26,23010
27,23011
28,23012
29,23013
30,23015
31,23023
32,23024
33,23025
34,23026
35,23027
36,23031
37,23032
38,23033
39,23034
40,23035
41,23036
42,23037
43,23038
44,23039
45,23040
46,23041
47,23127
48,25127
49,25939
50,26121
51,29967
52,29968
53,29969
54,29970
55,29971
56,29984
57,29985
58,29986
59,29988
60,29990
61,30008
62,30009
63,30011
64,30012
65,30230
66,30231
67,32319
68,33265
69,33325
70,37625
71,37626
72,37627
73,37628
74,37629
75,37630
76,37631
77,37632
78,37633
79,37634
80,37635
81,37636
82,37752
83,37753
84,37780
85,37781
86,39766
87,40617
88,40618
89,40641
90,40664
91,44956
92,44957
93,44958
94,45040
95,48306
96,48375
97,52339
98,52340
99,52341
100,52342
101,52343
102,52344
103,52345
104,52346
105,52347
106,52348
107,52349
108,52350
109,52351
110,52352
111,52353
112,52356
113,52357
114,52442
115,52443
116,52444
117,52445
118,52446
119,52447
120,52448
121,58863
122,58864
123,58865
124,58866
125,58873
126,58874
127,58875
128,58876
129,60715
130,61590
131,61605
