,CID
0,9674
1,9675
2,9676
3,9677
4,9678
5,9679
6,16292
7,16294
8,16296
9,16297
10,16298
11,16299
12,16300
13,16301
14,16302
15,16316
16,19258
17,22945
18,22946
19,23192
20,23193
21,30253
22,30254
23,30255
24,37842
25,37843
26,37844
27,37845
28,54427
29,55243
30,55244
31,55245
