,CID
0,8745
1,8747
2,14101
3,14102
4,14103
5,14104
6,14105
7,14144
8,14145
9,14146
10,14147
11,14148
12,14149
13,14150
14,14151
15,14152
16,14153
17,14162
18,14163
19,14166
20,14169
21,14181
22,14237
23,14238
24,14239
25,14240
26,14241
27,14322
28,14359
29,14377
30,14378
31,14416
32,14417
33,14503
34,21028
35,21031
36,21033
37,21095
38,21096
39,21097
40,21098
41,21099
42,21182
43,21183
44,21193
45,21194
46,21195
47,21216
48,21268
49,21269
50,21371
51,21372
52,27937
53,27953
54,28055
55,28105
56,28107
57,28108
58,28110
59,28111
60,28112
61,28113
62,28114
63,28119
64,28121
65,28122
66,28152
67,28206
68,28224
69,28227
70,28228
71,28271
72,28347
73,28348
74,28409
75,35359
76,35360
77,35361
78,35362
79,35363
80,35364
81,35366
82,35368
83,35370
84,35372
85,35373
86,35376
87,35377
88,35393
89,35395
90,35396
91,35483
92,35530
93,35531
94,35532
95,35533
96,35534
97,35563
98,35586
99,35588
100,35589
101,35622
102,35715
103,35729
104,35732
105,35925
106,35983
107,42371
108,42403
109,42413
110,42414
111,42415
112,42416
113,42481
114,42483
115,42484
116,42485
117,42562
118,42582
119,42583
120,42584
121,42587
122,42588
123,42589
124,42591
125,42592
126,42593
127,42594
128,42596
129,42597
130,42598
131,42599
132,42600
133,42601
134,42602
135,42603
136,42652
137,42653
138,42654
139,42755
140,42813
141,42821
142,42833
143,42834
144,42913
145,42915
146,49632
147,49636
148,49637
149,49638
150,49639
151,49640
152,49641
153,49642
154,49643
155,49645
156,49646
157,49647
158,49648
159,49649
160,49650
161,49651
162,49652
163,49653
164,50059
165,50060
166,50061
167,50077
168,50269
169,50342
170,50367
171,50368
172,50370
173,50371
174,50404
175,50417
176,50418
177,50456
178,50457
179,50458
180,50462
181,50586
182,56916
183,56917
184,56918
185,56919
186,56922
187,56926
188,56927
189,56929
190,56931
191,56933
192,56934
193,57028
194,57070
195,57120
196,57170
197,57174
198,57261
199,57267
200,57366
201,57426
202,63247
203,63468
204,63516
205,63517
206,63518
207,63519
208,63520
209,63522
210,63523
211,63524
212,63525
213,63526
214,63547
215,63549
216,63597
217,63611
218,63718
219,63719
220,63731
221,63732
222,63825
223,63826
