,CID
0,5043
1,5044
2,5045
3,5046
4,5047
5,5050
6,5051
7,5052
8,5053
9,5057
10,5061
11,10101
12,10102
13,10103
14,10123
15,10124
16,10125
17,10126
18,10127
19,11007
20,11008
21,11066
22,11067
23,11069
24,11074
25,11104
26,11127
27,18009
28,18010
29,18011
30,18012
31,18013
32,18014
33,24853
34,24854
35,24855
36,24856
37,24857
38,24910
39,24911
40,24912
41,24913
42,24914
43,24922
44,24923
45,24927
46,24929
47,24930
48,24933
49,24934
50,24935
51,24936
52,32152
53,32154
54,32155
55,32156
56,32204
57,32205
58,32206
59,32207
60,32236
61,32237
62,32238
63,32265
64,39573
65,39574
66,39575
67,39576
68,39577
69,39578
70,39617
71,39618
72,39653
73,39654
74,39655
75,39656
76,39678
77,39679
78,47066
79,47135
80,47136
81,47137
82,47139
83,47140
84,47142
85,47144
86,47147
87,54065
88,54066
89,54067
90,54068
91,54073
92,54074
93,54075
94,54076
95,54077
96,54078
97,54079
98,54080
99,54117
100,54118
101,54123
102,54188
103,54189
104,54190
105,54191
106,54192
107,54193
108,54503
109,60561
110,60562
111,60563
112,60568
113,60569
114,60576
115,60577
116,60578
117,60579
118,60583
119,60584
120,60585
121,60586
122,60595
123,60596
124,60603
125,60606
