,BID
0,27738
1,27798
2,27965
3,27981
4,28012
5,28029
6,28036
7,28074
8,28172
9,28218
10,28248
11,28272
12,28296
13,28357
14,28406
15,28436
16,28458
17,28484
18,28501
19,28526
20,28558
21,28569
22,28572
23,28592
24,28596
25,28605
26,28609
27,28616
28,28627
29,28651
30,28669
31,28733
32,28755
33,28785
34,28837
35,28923
36,28947
37,28953
38,28990
39,28997
40,29016
41,29043
42,29101
43,29124
44,29125
45,29148
46,29159
47,29202
48,29230
49,29275
50,29285
51,29337
52,29394
53,29400
54,29428
55,29435
56,29502
57,29508
58,29555
59,29564
60,29615
61,29631
62,29649
63,29664
64,29685
65,29690
66,29720
67,29727
68,29748
69,29755
70,29758
71,29783
72,29806
73,29822
74,29833
75,29854
76,29868
77,29884
78,29894
79,29920
80,29922
81,29923
82,29938
83,29939
84,29952
85,29978
86,29979
87,29982
88,29987
89,29998
90,29999
91,30008
92,30011
93,30037
94,30044
95,30052
96,30062
97,30092
98,30110
99,30126
100,30216
101,30238
102,30266
103,30348
