,BID
0,33719
1,33749
2,33835
3,33966
4,34129
5,34262
6,34387
7,34491
8,34576
9,34628
10,34647
11,34719
12,34733
13,34750
14,34783
15,34801
16,34969
17,35010
18,35071
19,35086
20,35313
21,35315
22,35348
23,35380
24,35697
25,35701
26,35715
27,35763
28,35808
29,35822
30,35830
31,35888
32,35896
33,35916
34,35920
35,35971
36,35988
37,35993
38,36026
39,36031
40,36062
41,36097
42,36123
43,36179
44,36187
45,36257
46,36325
47,36341
48,36347
49,36397
50,36450
51,36474
52,36479
53,36498
54,36515
55,36561
56,36589
57,36605
58,36624
59,36630
60,36677
61,36683
62,36700
63,36766
64,36875
65,36938
66,37018
67,37045
68,37124
69,37154
70,37203
71,37210
72,37250
73,37256
74,37297
75,37346
76,37499
77,37569
78,37588
79,37698
80,38143
81,38227
82,38494
83,38566
84,38571
85,38678
86,38706
87,38755
