,CID
0,189
1,11413
2,11414
3,11581
4,11582
5,18543
6,18823
7,18824
8,18828
9,18829
10,18830
11,25551
12,25552
13,25553
14,25554
15,25715
16,26453
17,32453
18,32454
19,32455
20,32456
21,32457
22,32458
23,32459
24,32460
25,32661
26,32662
27,32729
28,32730
29,32848
30,32851
31,32852
32,33205
33,40233
34,40234
35,40235
36,40236
37,40237
38,40238
39,40239
40,40544
41,40714
42,40949
43,47567
44,47569
45,47918
46,47919
47,47922
48,47923
49,47928
50,48427
51,48653
52,54636
53,55608
54,61012
55,61016
56,61017
57,61082
58,61193
59,61195
60,61223
61,61224
62,61227
63,61228
64,61836
65,61837
