,CID
0,1714
1,1716
2,1717
3,1780
4,1782
5,1828
6,1829
7,1830
8,1831
9,1835
10,1862
11,1863
12,1864
13,1865
14,1912
15,1913
16,1933
17,1934
18,1954
19,1955
20,1975
21,2124
22,2125
23,2126
24,2458
25,2459
26,5337
27,8159
28,8580
29,8716
30,8717
31,9430
32,9432
33,9433
34,9435
35,9436
36,9437
37,9448
38,9449
39,9450
40,9451
41,9452
42,9453
43,9454
44,9455
45,12207
46,12208
47,16117
48,16118
49,16119
50,16120
51,16121
52,23061
53,23062
54,23063
55,23064
56,23065
57,23066
58,23067
59,23070
60,23071
61,23072
62,23989
63,23990
64,23991
65,23992
66,25161
67,25162
68,30113
69,30114
70,30115
71,30116
72,30117
73,37694
74,37695
75,38712
76,38713
77,38714
78,38715
79,39804
80,44992
81,53373
82,59700
