,customer,weight,round,length
0,"[119, 37, 8, 7, 169, 12, 11, 10, 211, 210]","[2, 2, 1, 1, 2, 1, 1, 1, 3, 1]",0,6805.971927177301
1,"[58, 241, 239, 60, 52, 48, 98, 99, 167, 189, 101]","[2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]",0,3738.220798033
2,"[206, 216, 227, 202, 153, 155, 154, 237, 170, 133, 131, 183]","[1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1]",0,5747.609336744999
3,"[66, 177, 71, 245, 158, 244, 174, 62, 61, 64]","[3, 1, 2, 2, 2, 1, 1, 1, 1, 1]",0,2314.1779126685
4,"[168, 232, 6, 5, 33, 123, 75, 260]","[4, 1, 1, 2, 1, 1, 1, 1]",1,11197.226399259898
5,"[250, 29, 160, 159, 73, 256, 248, 136]","[2, 1, 1, 1, 1, 1, 1, 2]",1,7664.310509808999
6,[],[],1,0.0
7,"[35, 38, 113, 55, 112, 114, 30]","[5, 1, 1, 1, 1, 1, 1]",1,5614.806105036
