,CID
0,9139
1,12265
2,12494
3,12495
4,12496
5,16463
6,16464
7,18920
8,18921
9,18922
10,18923
11,18924
12,18925
13,19076
14,19617
15,19618
16,24950
17,24951
18,24952
19,25785
20,25786
21,32211
22,32212
23,32213
24,32214
25,32215
26,32216
27,32217
28,32218
29,32219
30,32220
31,32221
32,32222
33,32223
34,32224
35,32225
36,32226
37,32227
38,32230
39,33618
40,33619
41,33620
42,33621
43,33622
44,37961
45,37962
46,37963
47,37964
48,40922
49,40923
50,45337
51,47153
52,47154
53,47155
54,47156
55,47157
56,47158
57,47159
58,47160
59,47161
60,47990
61,47991
62,47992
63,48622
64,48623
65,52649
66,52650
67,54554
68,54794
69,54801
70,54815
71,54897
72,59179
73,60591
74,60592
75,61169
76,61171
77,61285
78,61286
