,BID
0,37977
1,38233
2,38487
3,39104
4,39585
5,39600
6,39769
7,39852
8,39924
9,40003
10,40019
11,40062
12,40072
13,40182
14,40200
15,40225
16,40229
17,40374
18,40448
19,40465
20,40497
21,40571
22,40579
23,40583
24,40609
25,40617
26,40622
27,40644
28,40647
29,40667
30,40672
31,40684
32,40695
33,40734
34,40759
35,40778
36,40785
37,40808
38,40817
39,40837
40,40852
41,40893
42,40912
43,40924
44,40951
45,40964
46,40966
47,40973
48,40980
49,41017
50,41454
51,41576
52,41589
53,41591
54,41597
55,41602
56,41606
57,41608
58,41621
59,41632
60,41649
61,41651
62,41655
63,41664
64,41677
65,41696
66,41704
67,41713
68,41727
69,41728
70,41738
71,41745
72,41748
73,41818
74,41909
75,41929
76,42022
77,42023
78,42214
79,42276
80,42295
81,42297
82,42329
83,42342
84,42381
85,42387
86,42412
87,42421
88,42423
89,42425
90,42426
91,42427
92,42526
