,customer,weight,round,length
0,"[85, 86, 72, 13, 53, 82, 83, 28, 206, 136, 197, 106]","[1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2]",0,15769.8886201336
1,"[66, 67, 40, 5, 131, 178, 179, 186, 38, 147, 87, 143]","[1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1]",1,9623.751111571
2,"[69, 68, 141, 47, 163, 4, 180, 182, 181]","[1, 1, 2, 1, 6, 1, 1, 1, 1]",2,10259.278943144402
3,"[192, 71, 112, 222, 163]","[1, 3, 1, 1, 9]",3,4961.690396614
4,"[214, 16, 17, 166, 165, 193, 195, 204, 64, 218]","[1, 2, 1, 2, 1, 3, 1, 1, 1, 2]",4,4929.864635985
5,"[205, 140, 219, 15, 114, 214, 93, 220, 120, 48, 148, 194]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1]",5,6038.9208651695
6,"[94, 90]","[1, 14]",6,4864.364898966
7,"[91, 95, 119, 97, 117, 116, 21, 167, 168, 202, 90, 223]","[1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1]",7,10829.196157383298
8,"[75, 98, 152, 149, 153, 24, 154, 157, 158, 217, 167, 60]","[1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]",8,5536.8487787191
9,"[216, 156, 115, 96, 101, 102, 22, 100, 81, 108]","[1, 1, 2, 2, 1, 1, 1, 1, 3, 2]",9,4643.918224411101
