,CID
0,5400
1,5401
2,5402
3,11138
4,11139
5,11140
6,11141
7,11142
8,11143
9,12293
10,12506
11,12507
12,12508
13,12509
14,12510
15,12512
16,12513
17,12514
18,12515
19,12516
20,12628
21,12629
22,12630
23,12655
24,18449
25,18450
26,18451
27,18452
28,18453
29,18454
30,18455
31,19751
32,19753
33,19754
34,19781
35,26462
36,26463
37,26464
38,26465
39,26466
40,26467
41,26468
42,26469
43,26470
44,26471
45,26472
46,26473
47,26474
48,26476
49,26478
50,26514
51,26515
52,26516
53,26525
54,32956
55,32957
56,32958
57,32959
58,32960
59,33742
60,33743
61,33770
62,40788
63,40789
64,40790
65,40791
66,40792
67,40930
68,41031
69,41032
70,41033
71,41034
72,41035
73,41036
74,52781
75,52782
76,52785
77,55613
78,55646
79,55647
80,60640
81,61910
82,61911
83,61912
84,61913
85,61914
