,BID
0,35239
1,35397
2,35402
3,35425
4,35433
5,35444
6,35455
7,35456
8,35472
9,35477
10,35496
11,35497
12,35499
13,35508
14,35512
15,35534
16,35539
17,35552
18,35558
19,35564
20,35569
21,35598
22,35607
23,35617
24,35624
25,35629
26,35642
27,35654
28,35658
29,35687
30,35692
31,35695
32,35709
33,35755
34,35762
35,35797
36,35852
37,35892
38,35969
