,CID
0,3704
1,3705
2,4024
3,4025
4,4026
5,4027
6,4029
7,4073
8,4075
9,4106
10,7827
11,7828
12,7829
13,7831
14,9960
15,9961
16,9962
17,9963
18,9964
19,10250
20,10251
21,10252
22,10253
23,10254
24,10255
25,10257
26,16836
27,17126
28,17127
29,17128
30,17129
31,17130
32,17131
33,17132
34,17133
35,17134
36,17135
37,17136
38,17137
39,17151
40,17152
41,17153
42,23544
43,23957
44,23958
45,23960
46,23961
47,25342
48,30587
49,30588
50,30589
51,30590
52,30591
53,30592
54,30956
55,30957
56,30962
57,30963
58,30964
59,33270
60,38646
61,38647
62,38660
63,45663
64,46141
65,48226
66,52914
67,52915
68,52916
69,52920
70,52921
71,52922
72,52923
73,52924
74,52925
75,53342
76,53343
77,53344
78,53345
79,53346
80,53348
81,59390
82,59391
83,59392
84,59395
85,59396
86,59639
87,59646
