,BID
0,6596
1,6600
2,6612
3,6624
4,6661
5,6676
6,6700
7,6712
8,6726
9,6737
10,6748
11,6758
12,6795
13,6879
14,6910
15,6918
16,6932
17,6939
18,6992
19,7036
20,7057
21,7085
22,7088
23,7102
24,7112
25,7123
26,7126
27,7147
28,7151
29,7152
30,7158
31,7166
32,7168
33,7172
34,7175
35,7180
36,7181
37,7186
38,7194
39,7201
40,7210
41,7222
42,7231
43,7258
44,7287
45,7300
46,7308
47,7317
48,7371
49,7387
50,7415
51,7416
52,7429
53,7463
54,7514
55,7543
56,7553
57,7566
58,7585
59,7613
60,7618
61,7623
62,7634
63,7643
64,7647
65,7663
66,7697
67,7741
68,7752
69,7798
70,7837
71,7843
72,7845
73,7858
74,7876
75,7893
76,7901
77,8047
78,8106
79,8112
80,8121
81,8146
82,8166
83,8175
84,8196
85,8224
86,8241
87,8268
88,8297
89,8322
90,8344
91,8382
92,8429
93,8441
94,8460
95,8479
96,8556
97,8586
98,8607
99,8623
100,8641
101,8657
102,8670
103,8689
104,8709
105,8732
106,8738
107,9070
108,9173
109,9181
110,9184
111,9230
112,9298
113,9419
114,9427
115,9463
116,9491
117,9535
118,9538
119,9555
120,9583
121,9587
122,9595
123,9608
124,9615
125,9628
126,9664
127,9694
128,9881
129,9924
130,9946
131,9964
132,9985
133,10006
134,10030
135,10119
136,10227
137,10246
138,10260
139,10278
140,10293
141,10295
142,10301
143,10314
144,10330
145,10345
146,10346
147,10379
148,10382
149,10400
150,10415
151,10437
152,10442
153,10444
154,10445
155,10470
156,10517
157,10518
158,10543
159,10546
160,10554
161,10572
162,10581
163,10586
164,10600
165,10626
166,10647
167,10688
168,10697
169,10701
170,10713
171,10720
172,10725
173,10772
174,10779
175,10807
176,10865
177,10913
178,10959
179,10979
180,10984
181,11006
182,11018
183,11033
184,11052
185,11124
186,11479
187,11500
188,11511
189,11589
190,11861
191,11890
192,11901
193,12016
194,12017
195,12242
196,12339
197,12422
198,12448
199,12553
200,12624
201,12664
202,12735
203,12748
204,12934
205,13037
206,13044
207,13063
208,13065
209,13160
210,13184
211,13262
212,13289
213,13372
214,13417
215,13492
216,13526
217,13629
218,13643
219,13694
220,13720
221,13736
222,13780
223,13832
224,13840
225,13907
226,13929
227,14152
228,14332
229,14395
