,CID
0,10621
1,10625
2,11115
3,11116
4,11117
5,11118
6,11119
7,11120
8,11121
9,11675
10,11676
11,11677
12,11678
13,11704
14,11705
15,11764
16,11765
17,12070
18,12257
19,12529
20,12543
21,17568
22,17569
23,17677
24,17679
25,17680
26,17681
27,17790
28,17791
29,17792
30,17793
31,17794
32,17796
33,18142
34,18143
35,18144
36,18145
37,18146
38,18148
39,18149
40,18150
41,18151
42,18152
43,18153
44,18154
45,18257
46,18258
47,18395
48,18460
49,19787
50,19788
51,19790
52,19791
53,23686
54,23693
55,23697
56,23915
57,23916
58,23917
59,23918
60,24155
61,24369
62,24434
63,24436
64,24437
65,24438
66,24439
67,24441
68,24442
69,24443
70,24444
71,25111
72,25131
73,25498
74,25557
75,25558
76,25559
77,25560
78,25561
79,25562
80,25991
81,25992
82,26302
83,26385
84,26386
85,26544
86,31764
87,31765
88,31766
89,31775
90,31776
91,31777
92,31778
93,31779
94,31780
95,31781
96,31782
97,31783
98,31784
99,31786
100,31794
101,31795
102,32128
103,32129
104,32130
105,32131
106,32132
107,32133
108,32251
109,32253
110,32254
111,32255
112,32256
113,32258
114,32315
115,32443
116,32732
117,32733
118,32768
119,32769
120,32770
121,32771
122,32843
123,33292
124,33306
125,33307
126,33308
127,33309
128,33310
129,33311
130,33527
131,33528
132,33529
133,33804
134,38550
135,38551
136,38552
137,39426
138,39427
139,39428
140,39429
141,39430
142,39431
143,39432
144,39433
145,39437
146,39438
147,39439
148,39440
149,40185
150,40186
151,40225
152,40226
153,40227
154,40228
155,40943
156,41064
157,45182
158,45184
159,46057
160,46058
161,46849
162,46850
163,46851
164,46852
165,47186
166,47187
167,47188
168,47606
169,47761
170,47836
171,47878
172,47879
173,47880
174,47881
175,48459
176,48460
177,48461
178,48645
179,53848
180,53849
181,54206
182,54207
183,54332
184,54333
185,54334
186,54383
187,54694
188,54842
189,54843
190,55111
191,55355
192,55356
193,60110
194,60126
195,60127
196,60299
197,60495
198,60496
199,60497
200,60499
201,60611
202,60612
203,60613
204,60614
205,60615
206,60616
207,60617
208,60739
209,60740
210,60741
211,60742
212,60743
213,61651
214,61942
