,CID
0,143
1,144
2,145
3,146
4,147
5,148
6,149
7,150
8,258
9,10262
10,10263
11,10264
12,11630
13,12100
14,12413
15,17154
16,17155
17,17156
18,17157
19,17158
20,17159
21,17160
22,17161
23,17162
24,17163
25,18805
26,18806
27,18807
28,18808
29,19516
30,23964
31,23965
32,23966
33,23967
34,25454
35,30965
36,30966
37,30967
38,30968
39,30969
40,30970
41,30971
42,32644
43,32974
44,38661
45,38662
46,38663
47,39942
48,46145
49,46146
50,46148
51,46149
52,46150
53,46151
54,46152
55,46153
56,46154
57,46155
58,46156
59,46157
60,46158
61,46159
62,46160
63,47595
64,53349
65,53350
66,59653
67,59654
68,59655
69,59656
70,59657
71,59658
72,59659
73,59660
74,61026
75,61027
76,61567
77,61568
78,61725
