,BID
0,30070
1,30097
2,30124
3,30134
4,30184
5,30232
6,30247
7,30319
8,30349
9,30353
10,30378
11,30476
12,30486
13,30500
14,30516
15,30528
16,30628
17,30636
18,30649
19,30698
20,30708
21,30712
22,30724
23,30725
24,30736
25,30763
26,30830
27,30834
28,30840
29,30859
30,30877
31,30904
32,30912
33,30940
34,30947
35,30971
36,30972
37,30976
38,30989
39,31034
40,31911
41,31919
42,32016
43,32036
44,32044
45,32112
46,32158
47,32269
48,32322
49,32455
50,32484
51,32554
52,32559
53,32622
54,32661
55,32691
56,32716
57,32735
58,32754
59,32779
60,32782
61,32784
62,32813
63,32842
64,32948
65,32992
66,33041
67,33093
68,33193
69,33241
70,33292
71,33297
72,33422
73,33435
74,33531
75,33572
76,33582
