,CID
0,79
1,2148
2,10953
3,10954
4,10955
5,10956
6,10957
7,10958
8,10959
9,10960
10,10961
11,10962
12,11645
13,11930
14,11931
15,12031
16,12032
17,12033
18,12452
19,17382
20,17383
21,17384
22,17385
23,17386
24,17387
25,17388
26,17730
27,17731
28,17732
29,17733
30,17734
31,17735
32,17736
33,17737
34,17738
35,17739
36,17740
37,17741
38,17742
39,17743
40,17744
41,17745
42,17746
43,17747
44,17748
45,17749
46,17750
47,17751
48,17752
49,17753
50,17755
51,17756
52,17757
53,17758
54,17759
55,17760
56,17761
57,17762
58,17763
59,17764
60,17765
61,17766
62,17768
63,17769
64,17893
65,17894
66,17895
67,17896
68,17897
69,17898
70,17899
71,17982
72,18105
73,18176
74,19088
75,19089
76,23108
77,23109
78,24078
79,24079
80,24080
81,24081
82,24082
83,24083
84,24084
85,24086
86,24087
87,24088
88,24089
89,24090
90,24091
91,24092
92,24093
93,24562
94,24563
95,24565
96,24569
97,24572
98,24573
99,24575
100,24576
101,24578
102,24581
103,24582
104,24583
105,24584
106,24585
107,24586
108,24605
109,24606
110,24608
111,24796
112,24797
113,24798
114,24799
115,24800
116,24979
117,25864
118,25908
119,30163
120,30164
121,30166
122,30167
123,30168
124,30169
125,30170
126,30171
127,30172
128,30173
129,30174
130,30175
131,30178
132,30183
133,30185
134,30186
135,30187
136,30188
137,30189
138,30190
139,31573
140,31574
141,31575
142,31576
143,31577
144,31995
145,32113
146,32114
147,37750
148,37751
149,39010
150,39391
151,39676
152,40389
153,40454
154,45038
155,45039
156,46386
157,46387
158,46388
159,46389
160,46390
161,46391
162,46392
163,46393
164,46394
165,46395
166,46396
167,46397
168,46406
169,46968
170,48064
171,48065
172,48066
173,48587
174,53107
175,53522
176,53523
177,53946
178,54005
179,54006
180,54008
181,54009
182,54010
183,54011
184,54012
185,54013
186,54016
187,54018
188,54213
189,59919
190,60368
191,60489
192,60518
193,60519
194,60621
195,60622
196,61123
197,61335
198,61443
199,61758
