,CID
0,1649
1,1977
2,2489
3,3464
4,9778
5,9780
6,9781
7,9783
8,9785
9,9786
10,10779
11,10780
12,10781
13,10782
14,10783
15,10784
16,10785
17,10786
18,10788
19,10791
20,10792
21,10793
22,11105
23,11107
24,11108
25,11109
26,11940
27,11971
28,12197
29,12198
30,12199
31,12269
32,12270
33,12271
34,12272
35,12273
36,12275
37,12277
38,12278
39,12279
40,12302
41,12606
42,12624
43,15660
44,15796
45,15797
46,15798
47,15799
48,16493
49,16495
50,16496
51,17783
52,17784
53,18749
54,18750
55,18752
56,18753
57,18754
58,18756
59,18994
60,18995
61,18996
62,18997
63,18998
64,19000
65,19001
66,19002
67,19003
68,19004
69,19023
70,19024
71,19228
72,19229
73,19712
74,19720
75,22707
76,22708
77,22709
78,22711
79,22713
80,22716
81,22717
82,22722
83,22723
84,22725
85,22727
86,22729
87,22734
88,24470
89,24471
90,24473
91,24474
92,25611
93,25874
94,25875
95,25877
96,25878
97,25879
98,25880
99,26068
100,26118
101,26124
102,26125
103,26126
104,26127
105,26128
106,26146
107,26452
108,29761
109,30378
110,31894
111,31895
112,31896
113,31897
114,31898
115,31899
116,31900
117,31901
118,31902
119,31905
120,31906
121,31907
122,31908
123,31909
124,31938
125,31939
126,31940
127,31942
128,31945
129,32909
130,33277
131,33278
132,33287
133,33290
134,33731
135,33732
136,33734
137,37382
138,39385
139,39392
140,39393
141,39394
142,39395
143,39396
144,39397
145,39398
146,39399
147,39400
148,39401
149,39402
150,39403
151,39404
152,39405
153,39596
154,39659
155,40426
156,40463
157,40619
158,40672
159,40996
160,40998
161,46860
162,46869
163,46870
164,46871
165,46872
166,46874
167,46875
168,46876
169,46878
170,46879
171,47175
172,48076
173,48077
174,48078
175,48079
176,48112
177,48113
178,48114
179,48115
180,48116
181,48224
182,48304
183,48377
184,48378
185,48379
186,48388
187,48390
188,48392
189,48398
190,48722
191,51866
192,51867
193,51868
194,51869
195,51870
196,51871
197,53457
198,53819
199,53820
200,53821
201,54732
202,54736
203,54737
204,54903
205,54939
206,55241
207,55317
208,55352
209,55353
210,55354
211,55603
212,55604
213,55616
214,55617
215,58657
216,58658
217,58659
218,58660
219,58662
220,58663
221,60265
222,60266
223,60267
224,60284
225,60537
226,60538
227,61118
228,61119
229,61120
230,61121
231,61299
232,61301
233,61352
234,61376
235,61377
236,61551
237,61583
238,61724
239,61871
240,61875
