,BID
0,38119
1,38156
2,38223
3,38226
4,38241
5,38260
6,38298
7,38320
8,38340
9,38362
10,38363
11,38393
12,38403
13,38419
14,38434
15,38439
16,38456
17,38463
18,38472
19,38490
20,38509
21,38524
22,38537
23,38541
24,38580
25,38606
26,38618
27,38692
28,38693
29,38696
30,38707
31,38727
32,38732
33,38761
34,38778
35,38809
36,38834
37,39186
38,39432
39,39492
40,39514
41,39548
42,39568
43,39591
44,39615
45,39625
46,39652
47,39666
48,39691
49,39702
50,39718
51,39776
52,39880
53,39887
54,39898
55,39917
56,39919
57,39941
58,39952
59,39954
60,40035
61,40147
