,BID
0,22308
1,22446
2,22458
3,22468
4,22513
5,22592
6,22632
7,22706
8,22714
9,22773
10,22775
11,22823
12,22833
13,22867
14,22908
15,22920
16,22931
17,22942
18,22971
19,23044
20,23066
21,23142
22,23162
23,23170
24,23206
25,23208
26,23212
27,23236
28,23276
29,23301
30,23308
31,23369
32,23393
33,23475
34,23493
35,23502
36,23517
37,23538
38,23545
39,23546
40,23578
41,23586
42,23607
43,23639
44,23653
45,23664
46,23666
47,23681
48,23729
49,23744
50,23747
51,23776
52,23790
53,23799
54,23811
55,23813
56,23816
57,23841
58,23859
59,23861
60,23886
61,23927
62,23931
63,23932
64,23974
65,24006
66,24024
67,24043
68,24049
69,24061
70,24080
71,24085
72,24100
73,24119
74,24156
75,24165
76,24167
77,24211
78,24214
79,24217
80,24219
81,24227
82,24231
83,24266
84,24277
85,24282
86,24289
87,24292
88,24313
89,24316
90,24322
91,24335
92,24357
93,24381
94,24386
95,24389
96,24401
97,24422
98,24474
99,24520
100,24535
101,24630
102,24671
103,24803
