,customer,weight,round,length
0,"[62, 106, 38, 37, 98, 97, 128, 99, 96, 27]","[2, 1, 2, 2, 2, 1, 1, 1, 2, 1]",0,2493.6937789169
1,"[88, 108, 14, 25, 26, 73, 74, 117, 45, 48, 49, 50]","[1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1]",0,3582.829388808
2,"[95, 68, 113, 2]","[2, 1, 11, 1]",0,2339.934823673
3,"[53, 41, 67, 42, 69, 43, 40, 93, 119, 90, 77]","[1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1]",0,2767.7822164820004
4,"[23, 24, 35, 39, 19, 115, 60, 61, 114, 66, 44]","[1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1]",0,2789.5197828630003
5,"[5, 124, 123, 87, 28, 8, 121]","[3, 1, 1, 1, 1, 1, 1]",1,3134.0120118457
6,[],[],1,0.0
7,"[3, 118, 11, 10, 116, 34]","[4, 3, 3, 1, 1, 2]",1,4245.298260147
8,[],[],1,0.0
9,"[94, 65]","[7, 6]",1,2295.235280453
