,CID
0,3250
1,9776
2,9777
3,9787
4,9788
5,9789
6,9790
7,9791
8,9792
9,9793
10,9902
11,9904
12,11076
13,11273
14,11274
15,11972
16,16489
17,16490
18,16491
19,16505
20,16506
21,16507
22,16508
23,16509
24,16510
25,16511
26,16512
27,16517
28,16518
29,16639
30,16640
31,16641
32,16642
33,18100
34,18101
35,18102
36,18103
37,19259
38,19260
39,19261
40,23270
41,23271
42,23272
43,23273
44,23275
45,23277
46,23296
47,23297
48,23298
49,23299
50,23300
51,23301
52,23302
53,23303
54,23304
55,23305
56,23306
57,23307
58,23308
59,23309
60,23457
61,23459
62,23460
63,23461
64,23479
65,25156
66,25909
67,25927
68,26073
69,30350
70,30351
71,30352
72,30379
73,30380
74,30381
75,30382
76,30385
77,30518
78,30519
79,32363
80,32364
81,32365
82,32366
83,38032
84,38033
85,45313
86,45314
87,45351
88,45352
89,45353
90,45354
91,45443
92,48336
93,52659
94,52660
95,52661
96,52662
97,52664
98,52665
99,52666
100,52667
101,52678
102,52679
103,52680
104,52681
105,52682
106,52683
107,52684
108,52685
109,52686
110,52696
111,52705
112,52706
113,52707
114,52708
115,52709
116,52710
117,54382
118,55008
119,55017
120,59188
121,59294
122,59295
123,61088
124,61556
125,61557
