,customer,weight,round,length
0,[8],[15],0,95.4308626804
1,[8],[15],0,95.4308626804
2,[11],[15],1,179.658640815
3,"[11, 8]","[6, 9]",1,275.0895034957
4,[11],[15],2,179.658640815
5,[11],[15],2,179.658640815
6,[11],[15],3,179.658640815
7,[11],[15],3,179.658640815
8,[11],[15],4,179.658640815
9,[11],[15],4,179.658640815
10,[11],[15],5,179.658640815
11,[11],[15],5,179.658640815
12,[11],[15],6,179.658640815
13,[11],[15],6,179.658640815
14,[11],[15],7,179.658640815
15,[11],[15],7,179.658640815
16,[11],[15],8,179.658640815
17,[11],[15],8,179.658640815
18,[],[],9,0.0
19,"[45, 13]","[1, 1]",9,2945.797346241
