,CID
0,11203
1,11204
2,11205
3,12247
4,12248
5,12249
6,12250
7,12414
8,12415
9,12428
10,12585
11,12725
12,12726
13,17619
14,17620
15,17981
16,18166
17,18167
18,18168
19,18169
20,18171
21,18172
22,18173
23,19021
24,19022
25,19275
26,19276
27,19277
28,19491
29,19495
30,19496
31,19695
32,19821
33,24792
34,24793
35,26284
36,26285
37,26286
38,26287
39,26288
40,26289
41,26290
42,33023
43,33025
44,33026
45,33027
46,33352
47,33644
48,33856
49,38863
50,38866
51,38871
52,38872
53,38873
54,38874
55,40680
56,40837
57,41095
58,41097
59,41098
60,48415
61,48694
62,48695
63,48696
64,48697
65,53112
66,53113
67,53114
68,53115
69,53116
70,53117
71,54210
72,54211
73,54212
74,55004
75,55265
76,55266
77,55267
78,55268
79,55269
80,55270
81,55271
82,55470
83,55479
84,55587
85,60481
86,60482
87,60483
88,60932
89,61580
90,61856
91,61857
92,61858
93,61985
