,BID
0,39934
1,39989
2,40042
3,40074
4,40115
5,40118
6,40153
7,40168
8,40171
9,40250
10,40281
11,40288
12,40296
13,40312
14,40322
15,40331
16,40336
17,40353
18,40361
19,40380
20,40384
21,40390
22,40403
23,40408
24,40425
25,40426
26,40435
27,40436
28,40451
29,40457
30,40463
31,40468
32,40478
33,40479
34,40492
35,40494
36,40510
37,40515
38,40520
39,40527
40,40529
41,40533
42,40536
43,40546
44,40549
45,40552
46,40576
47,40581
48,40599
49,40605
50,40606
51,40619
52,40626
53,40646
54,40648
55,40657
56,40678
57,40682
58,40705
59,40731
60,40732
61,40739
62,40742
63,40743
64,40752
65,40780
66,40788
67,40790
68,40819
69,40827
70,40840
71,40844
72,40847
73,40851
74,40857
75,40880
76,40885
77,40889
78,40901
79,40904
80,40905
81,40907
82,40915
83,40948
84,40958
85,40960
86,40963
87,40983
88,40992
89,40994
90,41009
91,41011
92,41013
93,41040
94,41043
95,41063
96,41064
97,41094
98,41116
99,41141
100,41220
101,41299
102,41363
103,41368
104,41378
105,41474
106,41475
107,41476
108,41477
109,41478
110,41480
111,41481
112,41485
113,41487
114,41498
115,41532
116,41559
117,41565
118,41575
119,41609
120,41610
121,41626
122,41640
123,41656
124,41803
125,41813
126,41849
127,41885
128,41901
129,41971
130,42008
131,42085
132,42091
133,42248
134,42376
135,42470
136,42527
137,42718
138,42720
139,42783
140,42851
141,42879
142,42890
143,43058
144,43064
145,43122
146,43227
147,43234
148,43237
149,43306
150,43317
151,43325
152,43345
153,43373
154,43429
155,43435
156,43444
157,43512
158,43514
159,43538
160,43606
161,43635
162,43638
163,43642
164,43650
165,43698
166,43773
167,43777
168,43785
169,43798
170,43856
171,43901
172,43932
173,43960
174,44031
175,44034
176,44070
177,44076
178,44077
179,44092
180,44096
181,44106
182,44125
183,44130
184,44141
185,44155
186,44156
187,44219
188,44232
189,44260
190,44269
191,44286
192,44318
193,44319
194,44369
195,44376
