,CID
0,6718
1,6719
2,6721
3,6727
4,6731
5,6733
6,6738
7,8284
8,8285
9,8288
10,8289
11,8764
12,8766
13,8820
14,8863
15,8864
16,8865
17,8866
18,8867
19,8869
20,8885
21,8886
22,8887
23,8888
24,8891
25,8892
26,8893
27,8894
28,8895
29,11886
30,15643
31,15650
32,15653
33,15655
34,15656
35,15657
36,15658
37,15659
38,15666
39,15675
40,15679
41,15680
42,15681
43,15682
44,15683
45,15696
46,15699
47,15700
48,22568
49,22569
50,22570
51,22571
52,22572
53,22573
54,22574
55,22580
56,22581
57,22584
58,22585
59,22586
60,22587
61,22588
62,22589
63,22590
64,22591
65,22593
66,22594
67,22595
68,22596
69,22597
70,26185
71,29546
72,29547
73,29548
74,29577
75,37154
76,37194
77,37195
78,37196
79,37197
80,37198
81,37199
82,37200
83,37201
84,37202
85,37203
86,37204
87,37205
88,37206
89,37207
90,37208
91,37209
92,37210
93,37215
94,37216
95,37217
96,37218
97,37219
98,40443
99,40470
100,40532
101,44160
102,44198
103,44200
104,44201
105,44202
106,44218
107,44219
108,44221
109,44222
110,44223
111,44224
112,44226
113,44227
114,44228
115,51624
116,51691
117,51692
118,51693
119,51694
120,51695
121,51704
122,51705
123,51706
124,51707
125,51937
126,58374
127,58375
128,58376
129,58377
130,58378
131,58379
132,58380
133,58381
134,58382
135,58383
136,58384
137,58385
138,58386
139,58483
140,58484
141,58485
142,58486
143,58487
144,58488
145,58489
146,58490
147,58491
148,58492
149,58493
150,58494
151,58495
152,58496
153,58510
154,58512
155,58513
156,58514
157,58515
158,58516
159,58517
160,58518
161,58519
162,58520
163,58521
164,58522
165,58531
166,58532
167,58535
168,58536
169,58537
170,58538
171,58539
172,58540
173,58541
174,58549
175,58550
176,58552
177,58553
178,58554
179,58555
180,58556
181,58557
182,58558
183,61398
184,61399
