,customer,weight,round,length
0,"[54, 79, 72]","[1, 13, 1]",0,1982.0916700023
1,"[33, 44]","[1, 14]",0,1068.331613774
2,"[29, 86, 79, 82, 34, 83, 85, 36, 71, 74, 32]","[1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1]",0,2036.3932666892001
3,"[41, 1, 42, 43, 18, 79]","[1, 1, 1, 1, 2, 9]",1,3746.4123352117003
4,"[8, 13, 95, 94, 24, 75, 76, 77, 11, 10, 62, 48, 49, 78]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,3948.2699364202003
5,"[64, 69, 68, 45, 59, 60, 57, 25, 19, 15]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 5]",1,2977.0499618526997
6,[],[],2,0.0
7,[],[],2,0.0
8,"[22, 21, 70, 20, 88, 87, 2, 61, 3]","[2, 1, 1, 1, 1, 1, 1, 1, 1]",2,3906.5884399700003
