,customer,weight,round,length
0,"[218, 123, 24, 122, 140, 138, 184, 185]","[2, 1, 2, 1, 2, 2, 2, 3]",0,2322.334263119
1,"[6, 206, 4, 237, 162, 161, 163, 90, 89, 215]","[1, 1, 1, 2, 1, 1, 2, 1, 1, 4]",0,5168.310495072001
2,"[183, 239, 158, 117, 118, 233, 51, 83, 230, 159, 213, 229]","[1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0,5917.77364494
3,"[144, 25, 28, 26]","[3, 2, 2, 1]",1,4694.244504635
4,"[217, 173, 128, 18, 126, 88, 216, 129]","[1, 1, 1, 1, 1, 2, 2, 2]",1,5732.041271383
5,"[253, 37, 250, 72, 114, 202, 203, 248, 221, 196, 197, 109, 91]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,9412.626416445
