,customer,weight,round,length
0,"[10, 52, 42, 3, 5, 18, 13, 23, 41, 55, 53]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3]",0,1637.654081019
1,"[16, 11, 24, 2, 12, 15, 54, 22]","[3, 5, 1, 2, 1, 1, 1, 1]",0,1229.855235427
2,"[30, 6, 51, 40, 43, 37, 56, 1, 29, 45, 46]","[1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1]",0,609.858715855
3,"[28, 7, 50, 47, 31]","[1, 1, 1, 11, 1]",0,1363.0126427120001
4,"[39, 27, 0, 17, 4, 34, 38, 20, 32, 14, 21, 25]","[1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1]",1,1358.236550058
5,[],[],1,0.0
6,"[35, 48, 49, 33, 19, 9, 26, 36, 8, 44]","[1, 1, 2, 2, 2, 1, 1, 1, 1, 1]",1,1291.276385666
7,[],[],1,0.0
