,customer,weight,round,length
0,"[3, 17, 26, 47, 41, 39, 38, 4, 37, 49, 2]","[2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2]",0,3219.6384521515
1,"[29, 21, 22, 13, 28, 27, 5]","[1, 1, 2, 2, 2, 1, 6]",0,4680.9147639525
2,[5],[15],0,3821.38877852
3,"[12, 15, 46, 57, 45, 11, 44, 43, 42, 10, 32, 40]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2]",0,4444.5752496573
4,"[23, 24, 25, 1, 20, 31, 35, 9, 52]","[1, 1, 1, 2, 3, 2, 1, 2, 2]",0,2342.3974042684
5,[],[],1,0.0
6,[],[],1,0.0
7,[50],[14],1,4417.12209854
8,[],[],1,0.0
9,[50],[15],1,4417.12209854
