,customer,weight,round,length
0,"[29, 24, 42, 31, 1, 2, 97, 57, 3, 76]","[1, 1, 1, 1, 2, 1, 2, 2, 2, 2]",0,3229.052133314
1,"[9, 86, 87, 92, 64, 8, 66, 35, 65, 70, 68, 96]","[3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0,6522.918096321
2,"[33, 78, 79, 80, 11, 55, 19, 67, 50, 20, 34, 32, 60]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]",0,4175.555546258601
3,"[12, 85, 83, 74, 84, 53, 75, 45, 0, 99, 94, 25]","[1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]",0,6569.828661454
4,"[91, 72, 73]","[1, 1, 1]",1,4878.606007215999
5,[],[],1,0.0
6,[],[],1,0.0
7,[],[],1,0.0
