,BID
0,8545
1,8572
2,8583
3,8608
4,8649
5,8690
6,8697
7,8720
8,8722
9,8724
10,8741
11,8768
12,8772
13,8776
14,8779
15,8782
16,8786
17,8790
18,8796
19,8801
20,8803
21,8807
22,8810
23,8820
24,8821
25,8825
26,8830
27,8845
28,8847
29,8851
30,8854
31,8856
32,8858
33,8860
34,8870
35,8884
36,8892
37,8905
38,8912
39,8913
40,8914
41,8926
42,8939
43,8941
44,8945
45,8965
46,8974
47,8985
48,8991
49,9000
50,9013
51,9021
52,9024
53,9028
54,9066
55,9134
56,9150
57,9161
58,9193
59,9215
60,9241
61,9245
62,9282
63,9288
64,9301
65,9306
66,9309
67,9319
68,9359
69,9365
70,9394
71,9398
72,9416
73,9420
74,9421
75,9433
76,9438
77,9442
78,9450
79,9456
80,9460
81,9470
82,9487
83,9497
84,9501
85,9507
86,9509
87,9551
88,9564
89,9566
90,9567
91,9592
92,9597
93,9611
94,9639
95,9651
96,9727
97,9775
98,9787
99,9803
100,9809
101,9810
102,9814
103,9834
104,9837
105,9844
106,9846
107,9865
108,9872
109,9874
110,9879
111,9893
112,9894
113,9914
114,9930
115,9931
116,9933
117,9936
118,9947
119,9956
120,9971
121,9994
122,10038
123,10072
124,10077
125,10101
126,10113
127,10117
128,10121
129,10135
130,10136
131,10168
132,10183
133,10217
134,10230
135,10247
136,10248
137,10262
138,10274
139,10283
140,10290
141,10311
142,10315
143,10320
144,10347
145,10349
146,10396
147,10427
148,10469
149,10474
150,10475
151,10502
152,10533
153,10542
154,10549
155,10588
156,10648
157,10825
158,10838
159,10871
160,10878
161,10885
162,11048
163,11287
164,11296
165,11401
166,11471
167,11472
168,11486
169,11499
170,11516
171,11523
172,11528
173,12150
174,12297
175,12302
176,12316
177,12326
178,12342
179,12363
180,12418
181,12470
182,12474
183,12524
184,12550
185,12565
186,12607
187,12631
188,12653
189,12666
190,12667
191,12701
192,12720
193,12743
194,12833
195,12874
196,12889
197,12897
198,12921
199,12935
200,12936
201,12956
202,12986
203,13018
204,13107
205,13130
206,13146
207,13157
208,13196
209,13272
210,13307
