,customer,weight,round,length
0,"[263, 172, 178, 222, 188, 23, 150, 81, 255, 84, 131, 91]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2]",0,3965.2334179120003
1,"[92, 157, 38, 132, 232, 227, 226, 19, 209, 88]","[2, 2, 1, 2, 2, 1, 1, 1, 2, 1]",0,2658.591352976
2,"[27, 160, 217, 159, 264, 190, 33, 29, 259, 260, 153, 237, 236]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0,3129.6480778019995
3,"[251, 62, 110, 79, 121, 75, 229, 230, 181, 137, 125]","[2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1]",1,5047.558044674
4,"[77, 76, 55, 254, 253, 85, 113, 112, 185, 211, 250, 66]","[2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]",1,4850.247069452999
5,"[18, 22, 187, 271, 168, 238, 266, 169, 170, 31, 152]","[2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1]",1,4845.119884553
6,"[133, 216, 182, 147, 141, 142, 61, 166, 235, 234, 257]","[1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2]",2,5437.8457776704
7,"[181, 4, 129, 213, 212, 50, 203, 177, 202, 241]","[2, 1, 2, 3, 1, 1, 1, 1, 1, 2]",2,6844.8560157887
8,"[10, 243, 63, 122, 126, 138, 28, 231, 258]","[1, 2, 2, 3, 3, 1, 1, 1, 1]",2,5933.7059714649995
9,"[71, 208, 207, 69, 196, 275, 274, 57, 198, 197]","[2, 1, 1, 1, 1, 3, 2, 2, 1, 1]",3,5423.7512184076995
10,"[242, 171, 240, 176, 221, 218, 219]","[4, 6, 1, 1, 1, 1, 1]",3,4586.888163203001
11,"[174, 148, 163, 144, 146, 200, 214, 149, 46, 49, 13]","[1, 1, 1, 2, 1, 1, 1, 3, 1, 2, 1]",3,6508.987334093001
12,[],[],4,0.0
13,[],[],4,0.0
14,"[281, 99, 279, 145, 70]","[1, 1, 3, 1, 3]",4,7400.017384211
