,customer,weight,round,length
0,[79],[15],0,1121.637469922
1,"[44, 33]","[14, 1]",0,1068.331613774
2,"[29, 86, 79, 72]","[1, 1, 12, 1]",0,1128.9952108235
3,"[54, 64, 69, 68, 8, 60, 57, 94, 25, 19, 43, 42, 1, 41]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0,3629.925002748099
4,"[74, 71, 15, 36, 34, 82, 18, 83, 85, 32]","[1, 1, 5, 1, 1, 1, 2, 1, 1, 1]",0,2657.199806819
5,[],[],1,0.0
6,"[49, 48, 3, 22, 21, 70, 20, 88, 87, 2, 61, 62, 10, 11]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,4149.652556358
7,[],[],1,0.0
8,"[45, 59, 13, 95, 24, 75, 76, 77, 78]","[1, 1, 1, 1, 2, 1, 1, 1, 1]",1,3088.9440540721007
9,[],[],1,0.0
