,CID
0,11426
1,11427
2,11451
3,11452
4,11453
5,11463
6,11464
7,11535
8,11536
9,11537
10,11538
11,11539
12,11540
13,11541
14,12082
15,12120
16,12121
17,18433
18,18434
19,18435
20,18436
21,18513
22,18514
23,18515
24,18544
25,19192
26,19461
27,19653
28,19654
29,25324
30,25326
31,25327
32,25328
33,25329
34,25330
35,25331
36,25332
37,25333
38,25406
39,26013
40,26014
41,32492
42,32493
43,32494
44,32495
45,32614
46,32615
47,32616
48,32617
49,32618
50,32619
51,33101
52,33110
53,33111
54,33113
55,33114
56,33120
57,33121
58,33122
59,33393
60,33394
61,33768
62,33769
63,39938
64,40030
65,40031
66,40032
67,47590
68,47702
69,47703
70,54472
71,54474
72,54475
73,54486
74,54487
75,54488
76,54489
77,54490
78,54492
79,55423
80,60886
81,60887
82,60888
83,60889
84,60890
85,60891
86,61909
