,customer,weight,round,length
0,"[72, 19, 18, 10, 68, 54]","[7, 3, 1, 1, 1, 2]",0,1393.8100922733
1,"[58, 50, 34, 17, 48, 67, 49, 47, 79, 12, 76, 43, 70]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",0,2850.9811554846005
2,[44],[15],0,356.088633562
3,"[61, 60, 59, 38, 42, 8, 80, 0, 56]","[1, 1, 1, 1, 5, 1, 2, 1, 2]",0,2356.3405784839997
4,"[77, 26, 78, 75, 24, 25]","[1, 3, 2, 1, 2, 3]",1,2869.794068197
5,"[40, 53, 1, 2, 15, 74, 36]","[1, 1, 1, 1, 3, 2, 1]",1,4285.687488448
6,"[52, 41, 51, 38]","[2, 3, 1, 7]",1,1960.120986403
7,"[9, 20, 64, 65, 46, 21, 3, 4, 62]","[3, 1, 1, 1, 4, 1, 1, 1, 1]",1,2809.8826102392
