,customer,weight,round,length
0,"[64, 74, 67, 0, 4, 77, 22, 55, 5, 66, 53, 34]","[1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1]",0,1777.921082798
1,"[69, 56, 41, 58, 54, 57, 40, 65, 42, 7, 33, 44, 61]","[1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1]",0,2584.3754742
2,"[6, 63, 32, 49, 23, 51, 35, 3, 68, 16, 75, 17, 59]","[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,2189.8571116949997
3,"[21, 37, 20, 8, 70, 9, 78, 18, 1, 76, 15, 19, 36, 60]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,2697.32898051
4,"[2, 10, 30, 48, 50, 26, 12, 11, 14]","[3, 3, 1, 2, 1, 1, 1, 1, 2]",2,1852.702462357
5,"[43, 62, 28, 27, 13, 29, 52, 24, 25, 73, 71, 31, 39]","[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",2,1375.855388187
6,[],[],3,0.0
7,"[47, 46, 45, 72, 25, 38]","[1, 1, 1, 1, 2, 1]",3,1192.322469666
