,CID
0,394
1,6088
2,8932
3,9471
4,10936
5,10937
6,11019
7,11679
8,12678
9,12821
10,16241
11,16242
12,16243
13,16249
14,18080
15,18081
16,18796
17,19747
18,19748
19,19775
20,19776
21,25521
22,25522
23,25523
24,25524
25,25565
26,25571
27,25679
28,25680
29,25681
30,25682
31,26439
32,26440
33,26500
34,26501
35,26502
36,26503
37,26504
38,32111
39,32708
40,32709
41,32725
42,32743
43,32744
44,32745
45,32746
46,32747
47,32748
48,33626
49,33724
50,33725
51,33726
52,33727
53,33728
54,33729
55,33797
56,33798
57,40115
58,40983
59,40984
60,40985
61,40986
62,41045
63,41058
64,41059
65,41142
66,41143
67,41145
68,47837
69,47838
70,47839
71,48554
72,48708
73,48799
74,48800
75,48801
76,55641
77,55642
78,55643
79,55644
80,55645
81,55750
82,55751
83,55752
84,55757
85,58773
86,60445
87,60447
88,60448
89,60449
90,60450
91,60451
92,60452
93,60453
94,60454
95,60455
96,60456
97,60457
98,60458
99,60459
100,60460
101,60461
102,60462
103,60463
104,61094
105,61095
106,61096
107,61098
108,61922
109,61923
110,61924
111,61925
112,61926
113,61927
114,62014
115,62015
