,BID
0,29092
1,29440
2,29443
3,29572
4,29645
5,29646
6,29665
7,29666
8,29667
9,29669
10,29671
11,29836
12,29840
13,29844
14,29873
15,29888
16,29909
17,29950
18,29956
19,30013
20,30060
21,30138
22,30160
23,30188
24,30196
25,30218
26,30282
27,30311
28,30321
29,30360
30,30387
31,30412
32,30418
33,30427
34,30480
35,30484
36,30489
37,30510
38,30529
39,30540
40,30542
41,30548
42,30554
43,30567
44,30581
45,30582
46,30594
47,30598
48,30631
49,30646
50,30667
51,30674
52,30693
53,30707
54,30716
55,30755
56,30759
57,30761
58,30787
59,30795
60,30798
61,30818
62,30825
63,30826
64,30847
65,30857
66,30886
67,30897
68,30905
69,30909
70,30921
71,30927
72,30933
73,30936
74,30941
75,30950
76,30953
77,30970
78,30977
79,30986
80,30993
81,30995
82,30996
83,31000
84,31018
85,31026
86,31038
87,31061
88,31093
89,31102
90,31113
91,31165
92,31181
93,31191
94,31199
95,31210
96,31223
97,31267
98,31298
99,31325
100,31364
101,31421
102,31422
103,31426
104,31507
