,CID
0,1753
1,1754
2,4380
3,4382
4,5994
5,6995
6,6996
7,6997
8,6998
9,6999
10,7000
11,7001
12,7002
13,7003
14,7004
15,7621
16,8121
17,8123
18,8124
19,8125
20,8126
21,8127
22,10089
23,10092
24,10093
25,10095
26,10096
27,10097
28,10098
29,10154
30,10160
31,10161
32,10162
33,10163
34,10305
35,17035
36,17051
37,17052
38,17053
39,17054
40,17055
41,17056
42,17057
43,17065
44,17066
45,17067
46,17069
47,17183
48,23637
49,23638
50,23639
51,23641
52,23840
53,23841
54,23842
55,23844
56,23845
57,23978
58,30856
59,30857
60,31007
61,38465
62,38701
63,38702
64,53199
65,53201
66,53356
67,53357
68,59673
69,59674
70,59677
71,59678
72,59679
73,59680
