,customer,weight,round,length
0,"[124, 104, 106, 40, 43, 42, 136, 137, 139, 33, 34, 123, 122]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]",0,5467.377683781001
1,"[85, 3, 152, 2, 65, 173, 151, 96, 57, 165, 1, 105, 124]","[1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",1,5699.292841305901
2,"[133, 73, 171, 85, 167, 95, 120, 50]","[3, 2, 2, 1, 3, 1, 2, 1]",2,5443.896051547
3,"[49, 77, 74, 113, 72, 114, 61, 10, 9, 63]","[1, 1, 1, 1, 1, 2, 3, 1, 1, 3]",3,2597.7191703490003
4,"[112, 146, 158, 157, 102, 103, 148, 27, 30, 117, 60]","[1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2]",4,2649.2958395856995
5,"[59, 111, 75, 76, 147, 48, 98, 26, 118]","[1, 1, 1, 5, 3, 1, 1, 1, 1]",5,3192.0278889078
6,"[25, 19, 90, 89, 150, 107, 78, 108, 16, 18, 91, 140]","[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",6,5283.5917276403
7,"[21, 154, 143, 142, 54, 11, 149, 17, 92]","[3, 1, 3, 1, 1, 3, 1, 1, 1]",7,4823.866316580999
8,"[20, 145, 144, 23, 22, 141, 161, 163, 160, 52, 142]","[2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1]",8,5568.2295438784
9,"[32, 162, 164]","[1, 2, 2]",9,5284.154555321001
