,CID
0,7346
1,7348
2,7350
3,7355
4,8163
5,8165
6,8167
7,8168
8,8169
9,8172
10,8174
11,8177
12,8180
13,10456
14,10457
15,10458
16,10459
17,10460
18,10461
19,10462
20,10463
21,10464
22,10465
23,10466
24,10471
25,10545
26,10546
27,10547
28,10548
29,10553
30,10555
31,10556
32,10573
33,10574
34,10575
35,10576
36,12294
37,17404
38,17405
39,17408
40,17409
41,17410
42,17411
43,17474
44,17475
45,17476
46,17477
47,17478
48,17479
49,17480
50,17481
51,17482
52,17489
53,17490
54,19361
55,23707
56,23708
57,23709
58,23713
59,24219
60,24220
61,24234
62,24235
63,24236
64,24237
65,24238
66,24239
67,24240
68,24241
69,24255
70,31595
71,31596
72,31597
73,31598
74,31599
75,31600
76,31601
77,31614
78,31615
79,31667
80,31668
81,31669
82,31670
83,31671
84,31672
85,32376
86,33464
87,39062
88,39159
89,39160
90,39161
91,39162
92,39163
93,39164
94,39165
95,39166
96,39180
97,39181
98,39816
99,40649
100,40825
101,46556
102,46557
103,46558
104,46559
105,46588
106,46589
107,46591
108,46592
109,46598
110,46949
111,48405
112,53551
113,53552
114,53553
115,53554
116,53610
117,53611
118,53612
119,53613
120,53615
121,53616
122,53617
123,53618
124,53629
125,53630
126,53631
127,53632
128,54405
129,55323
130,59934
131,59935
132,59936
133,59938
134,59939
135,59940
136,60013
137,60014
138,60015
139,60016
140,60017
141,60018
142,60019
143,60020
144,60021
145,60353
