,CID
0,98
1,99
2,100
3,287
4,345
5,346
6,347
7,351
8,353
9,354
10,8968
11,8969
12,8970
13,8971
14,8972
15,8973
16,8984
17,8985
18,8987
19,8990
20,8991
21,8992
22,8993
23,8994
24,8995
25,8996
26,8997
27,8998
28,8999
29,9000
30,9001
31,9002
32,9003
33,9004
34,9005
35,9006
36,9007
37,9008
38,9017
39,11475
40,11769
41,11770
42,11771
43,11772
44,11773
45,12562
46,12563
47,12625
48,12626
49,12627
50,12635
51,12636
52,12637
53,12644
54,12645
55,12646
56,12688
57,15790
58,17946
59,17947
60,17948
61,17949
62,17950
63,19200
64,19201
65,19202
66,19203
67,19514
68,19515
69,19729
70,19730
71,19731
72,19732
73,19733
74,19734
75,19735
76,19739
77,19740
78,19769
79,19786
80,19857
81,19858
82,19859
83,22688
84,22689
85,22690
86,24697
87,24698
88,24699
89,25367
90,25368
91,25369
92,25370
93,25371
94,25509
95,26046
96,26047
97,26048
98,26049
99,26050
100,26051
101,26052
102,26053
103,26054
104,26273
105,26274
106,26415
107,26417
108,26495
109,26521
110,26522
111,26523
112,26622
113,32026
114,32027
115,32028
116,32535
117,32705
118,32706
119,33236
120,33237
121,33780
122,33803
123,38909
124,39541
125,40108
126,40606
127,40607
128,40608
129,40609
130,40830
131,40831
132,40832
133,40833
134,40834
135,40835
136,41020
137,41043
138,41044
139,44404
140,44405
141,47771
142,47920
143,48453
144,48531
145,48532
146,48535
147,48536
148,48537
149,48677
150,48678
151,48679
152,48681
153,48682
154,48749
155,48777
156,48778
157,48779
158,51812
159,51813
160,51814
161,51816
162,54535
163,54706
164,54707
165,54845
166,55565
167,55630
168,55658
169,55659
170,55660
171,55661
172,55682
173,58845
174,58846
175,58847
176,58848
177,58849
178,58850
179,60898
180,61066
181,61068
182,61069
183,61529
184,61530
185,61901
186,61941
187,62007
