,BID
0,15426
1,15464
2,15522
3,15526
4,15528
5,15546
6,15604
7,15646
8,15678
9,15693
10,15700
11,15716
12,15717
13,15719
14,15726
15,15741
16,15758
17,15774
18,15798
19,15801
20,15815
21,15820
22,15830
23,15836
24,15837
25,15851
26,15866
27,15873
28,15917
29,15918
30,15922
31,15926
32,15927
33,15994
34,16014
35,16029
36,16031
37,16032
38,16034
39,16036
40,16038
41,16039
42,16042
43,16043
44,16045
45,16046
46,16057
47,16059
48,16060
49,16061
50,16062
51,16078
52,16079
53,16082
54,16087
55,16097
56,16102
57,16103
58,16104
59,16116
60,16119
61,16121
62,16125
63,16131
64,16136
65,16139
66,16145
67,16156
68,16157
69,16159
70,16167
71,16171
72,16177
73,16180
74,16190
75,16204
76,16208
77,16216
78,16217
79,16243
80,16245
81,16246
82,16249
83,16272
84,16273
85,16278
86,16282
87,16295
88,16321
89,16350
90,16356
91,16361
92,16362
93,16366
94,16374
95,16387
96,16408
97,16423
98,16424
99,16482
100,16485
101,16498
102,16499
103,16504
104,16511
105,16517
106,16520
107,16539
108,16547
109,16563
110,16571
111,16579
112,16582
113,16593
114,16596
115,16599
116,16616
117,16623
118,16628
119,16632
120,16635
121,16658
122,16665
123,16690
124,16697
125,16717
126,16720
127,16722
128,16723
129,16727
130,16739
131,16742
132,16744
133,16751
134,16767
135,16773
136,16781
137,16785
138,16793
139,16794
140,16798
141,16813
142,16826
143,16828
144,16834
145,16853
146,16856
147,16857
148,16869
149,16886
150,16901
151,16937
152,16989
153,16991
154,17045
155,17063
156,17073
157,17108
158,17135
159,17136
160,17142
161,17190
162,17215
163,17219
164,17221
165,17227
166,17231
167,17233
168,17250
169,17252
170,17285
171,17288
172,17292
173,17294
174,17303
175,17305
176,17319
177,17324
178,17341
179,17342
180,17355
181,17365
182,17380
183,17383
184,17402
185,17412
186,17429
187,17430
188,17510
189,17545
190,17562
191,17567
192,17574
193,17576
194,17615
195,17627
196,17641
197,17659
198,17665
199,17670
200,17679
201,17692
202,17695
203,17696
204,17710
205,17723
206,17743
207,17826
208,17840
