,customer,weight,round,length
0,"[120, 121, 134, 130, 133, 88, 132, 66, 149, 24]","[1, 3, 1, 1, 1, 1, 1, 1, 2, 3]",0,5229.1986432012
1,[24],[15],1,3194.36313284
2,"[60, 24, 79]","[7, 7, 1]",2,8692.07360555
3,[60],[15],3,4124.18169072
4,"[57, 56, 13, 1, 111, 15, 60]","[5, 1, 3, 1, 1, 1, 3]",4,12634.316585026001
5,"[12, 50, 51, 11, 137, 108, 107, 94, 93, 81, 141, 72, 31]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",5,13104.084712158
6,"[116, 143, 95, 27, 17, 106, 89, 49, 105, 53, 55, 62]","[1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1]",6,15157.65237209
7,"[26, 7, 75, 77, 29, 144, 49, 102, 52, 82, 54, 35]","[1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1]",7,16625.575574157
8,"[18, 101, 123, 124, 122, 29, 70, 84, 9, 5, 96]","[1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1]",8,35152.863141377995
9,"[100, 64, 3, 37, 4]","[1, 1, 1, 1, 1]",9,21616.801331820996
