,customer,weight,round,length
0,"[87, 0, 5, 1, 106, 39, 74, 75, 3, 43, 15, 113]","[1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1]",0,2962.606592752
1,"[102, 99, 52, 51, 121, 120, 103]","[4, 1, 1, 1, 3, 3, 2]",0,1865.8851129449
2,"[88, 45, 9, 97, 7, 96, 94, 95, 86, 60, 59, 35, 109]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0,3594.552876007
3,"[101, 30, 58, 56, 29, 76, 84, 47, 55, 38, 54]","[1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1]",0,2010.0470584608
4,"[34, 72, 33, 70, 107, 68, 117, 32, 22, 23, 24]","[3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]",0,2254.6696191671
5,"[93, 116, 37, 36, 82, 118, 81, 79, 77]","[1, 1, 1, 1, 1, 1, 1, 1, 3]",1,4798.413382003
6,[],[],1,0.0
7,[],[],1,0.0
8,[],[],1,0.0
9,[],[],1,0.0
